idPNMain,PNG,Name,PNstat,RAJ2000,DECJ2000,DRAJ2000,DDECJ2000,Glon,Glat,MajDiam,mainClass,subClass
8,000.0+02.0,K 6-4,T,17:37:42.9,-27:49:09.55,264.42886,-27.81932,0.03035,2.06620,6.9,S,
9,000.1-01.9,JaSt 93,T,17:53:23.78,-29:49:45.5,268.34908,-29.82931,0.10451,-1.91213,14.0,E,s;
10,000.1-08.0,SB 1,T,18:18:48.5,-32:47:55.32,274.70200,-32.79870,0.11982,-8.09701,29.4,B,a;
11,000.1-01.1,M 3-43,T,17:50:24.3,-29:25:18.70,267.60123,-29.42186,0.12383,-1.14515,3.5,E,
12,000.1+02.6,Al 2-J,T,17:35:35.4,-27:24:04.97,263.89753,-27.40138,0.13036,2.68778,10.5,E,a;
13,000.1-05.6,H 2-40,T,18:08:30.7,-31:36:35.64,272.12800,-31.60990,0.15423,-5.61605,18.3,E,a;r;s;
14,000.1+17.2,PC 12,T,16:43:53.8,-18:57:11.88,250.97409,-18.95330,0.16601,17.24877,2.3,B,m;p;r;
15,000.0-01.0,JaSt 69,T,17:50:10.0,-29:19:05.38,267.54154,-29.31816,0.18622,-1.04734,14.0,E,m;s;
16,000.1+04.3,H 1-16,T,17:29:23.4,-26:26:04.38,262.34732,-26.43455,0.19046,4.37350,5.0,E,r;
17,000.1-02.3,Bl 3-10,T,17:55:20.5,-29:57:36.14,268.83557,-29.96004,0.20472,-2.34217,7.2,R,a;r;
19,000.2-01.9,M 2-19,T,17:53:45.6,-29:43:46.34,268.44009,-29.72954,0.23061,-1.92971,20.0,B,s;
20,000.2-04.6,Wray 16-363,T,18:04:44.1,-31:02:48.16,271.18369,-31.04671,0.26005,-4.63793,6.4,E,m;
21,000.2+01.7,JaSt 19,T,17:39:39.29,-27:47:21.9,264.91371,-27.78942,0.28446,1.71932,7.2,E,
22,000.3-04.6,M 2-28,T,18:05:02.7,-30:58:17.40,271.26123,-30.97150,0.35839,-4.65958,5.5,E,
23,000.3+12.2,IC 4634,T,17:01:33.6,-21:49:32.77,255.38988,-21.82577,0.36191,12.21475,20.5,B,m;p;s;
24,000.3+06.9,Terz N 41,T,17:20:22.0,-24:51:52.24,260.09152,-24.86451,0.36633,6.93652,15.2,E,r;s;
25,000.3-02.8,M 3-47,T,17:57:43.4,-30:02:29.90,269.43069,-30.04164,0.39249,-2.82910,9.0,R,
26,000.4-01.9,M 2-20,T,17:54:25.4,-29:36:08.78,268.60571,-29.60244,0.41313,-1.98961,6.0,B,
27,000.4-02.9,M 3-19,T,17:58:19.3,-30:00:39.31,269.58057,-30.01092,0.48389,-2.92630,7.2,R,
28,000.4+01.1,JaSt 36,T,17:42:25.1,-27:55:35.94,265.60461,-27.92665,0.49123,1.12837,5.0,B,
29,000.5+01.9,JaSt 17,T,17:39:31.2,-27:27:46.76,264.88007,-27.46299,0.54524,1.91808,9.1,E,
30,000.5-03.1,KFL 1,T,17:59:15.6,-30:02:47.15,269.81494,-30.04643,0.55400,-3.12003,8.0,R,
31,000.5-01.6,Al 2-Q,T,17:53:25.0,-29:17:08.74,268.35434,-29.28576,0.57560,-1.64056,9.2,R,
32,000.5-01.7,JaSt 96,T,17:53:57.6,-29:20:15.72,268.49000,-29.33770,0.59073,-1.76887,25.0,R,
33,000.6-02.3,H 2-32,T,17:56:24.3,-29:38:06.40,269.10132,-29.63511,0.60185,-2.37837,,S,
34,000.6-01.0,JaSt 77,T,17:51:11.5,-28:56:26.16,267.79794,-28.94060,0.62529,-1.04646,10.0,E,
35,000.6-01.3,Bl 3-15,T,17:52:36.05,-29:06:39.6,268.15021,-29.11100,0.63571,-1.39832,6.0,B,p;
37,000.7-02.7,M 2-21,T,17:58:09.6,-29:44:20.08,269.53986,-29.73891,0.70247,-2.76023,2.8,E,
38,000.7-03.7,M 3-22,T,18:02:19.2,-30:14:25.37,270.58017,-30.24038,0.71193,-3.79136,6.0,S,
39,000.7+04.7,H 2-11,T,17:29:25.9,-25:49:06.64,262.35812,-25.81851,0.71256,4.70323,2.0,E,
40,000.7+03.2,M 4-5,T,17:34:54.7,-26:35:56.90,263.72797,-26.59914,0.72555,3.24734,6.7,B,m;p;
41,000.7-00.8,JaSt 74,T,17:50:46.76,-28:44:35.2,267.69483,-28.74311,0.74882,-0.86785,5.0,R,
42,000.7-07.4,M 2-35,T,18:17:37.2,-31:56:46.86,274.40497,-31.94635,0.76849,-7.48349,5.0,S,
43,000.8+01.3,JaSt 38,T,17:42:32.4,-27:33:15.84,265.63500,-27.55440,0.82195,1.30149,10.9,E,
44,000.0-01.2,JaSt 71,T,17:50:23.2,-28:33:10.37,267.59651,-28.55288,0.86802,-0.69630,5.0,R,
45,000.8-01.5,Sa 3-90,T,17:53:49.7,-28:59:11.26,268.45715,-28.98646,0.87926,-1.56635,2.0,S,
46,000.8-07.6,H 2-46,T,18:18:37.4,-31:54:45.43,274.65601,-31.91262,0.89741,-7.65727,4.0,S,
47,000.9+01.1,JaSt 44,T,17:43:23.36,-27:34:05.2,265.84733,-27.56811,0.90924,1.13414,8.5,E,a;
48,000.9-04.8,M 3-23,T,18:07:06.1,-30:34:16.97,271.77560,-30.57138,0.92415,-4.85332,13.6,R,
49,000.9-00.9,JaSt 78,T,17:51:24.7,-28:35:40.56,267.85300,-28.59460,0.94743,-0.91118,11.0,E,
50,000.9-02.0,Bl 3-13,T,17:56:02.8,-29:11:16.22,269.01151,-29.18784,0.94972,-2.08623,4.2,E,a;
51,001.0+01.9,K 1-4,T,17:40:27.40,-27:01:02.0,265.11417,-27.01722,1.03380,1.97822,48.1,B,m;s;
52,001.1-06.4,SB 4,T,18:14:14.2,-31:11:09.10,273.55908,-31.18586,1.11045,-6.49225,33.0,E,a;r;s;
54,001.1-01.6,Sa 3-92,T,17:54:52.1,-28:48:55.33,268.71692,-28.81537,1.14193,-1.67610,6.4,S,
58,001.2+02.1,Hen 2-262,T,17:40:12.8,-26:44:21.37,265.05341,-26.73927,1.24094,2.17148,4.6,E,
59,001.2-01.2a,JaSt 95,T,17:53:35.3,-28:28:50.88,268.39700,-28.48080,1.28863,-1.26470,9.0,R,a;r;
60,001.2-03.0,H 1-47,T,18:00:37.6,-29:21:50.22,270.15665,-29.36395,1.29498,-3.04006,2.5,E,
62,001.3-01.2,Bl M,T,17:53:47.2,-28:27:18.0,268.44667,-28.45500,1.33301,-1.28926,4.0,E,m;
63,001.3-01.0,JaSt 89,T,17:53:06.6,-28:18:11.16,268.27747,-28.30310,1.38843,-1.08392,7.0,S,
64,001.4+05.3,H 1-15,T,17:28:37.6,-24:51:06.59,262.15674,-24.85183,1.42397,5.38544,5.0,B,
65,001.4-03.4,ShWi 2-1,T,18:02:26.4,-29:25:05.52,270.61000,-29.41820,1.44252,-3.41057,13.0,E,a;s;
66,001.5-00.7,K 6-17,T,17:52:08.73,-28:02:17.1,268.03638,-28.03808,1.50850,-0.76613,3.0,R,a;
67,001.5+03.6,K 5-5,T,17:35:22.12,-25:42:47.04,263.84217,-25.71307,1.52885,3.63808,2.0,S,
68,001.5-06.7,SwSt 1,T,18:16:12.3,-30:52:07.74,274.05112,-30.86882,1.59065,-6.71755,5.6,S,
69,001.6+01.5,K 6-10,T,17:43:16.9,-26:44:17.56,265.82062,-26.73821,1.60340,1.58991,4.5,E,
70,001.6-01.3,Bl Q,T,17:54:34.9,-28:12:43.06,268.64526,-28.21196,1.63116,-1.31708,3.8,E,r;
71,001.6+00.1,JaSt 63,T,17:48:46.2,-27:25:36.84,267.19245,-27.42690,1.65048,0.18851,10.0,E,a;r;
72,001.6-05.9,SB 6,T,18:13:15.8,-30:26:00.96,273.31600,-30.43360,1.68029,-5.95504,26.4,E,
73,001.7+05.7,H 1-14,T,17:28:01.8,-24:25:23.02,262.00732,-24.42306,1.70927,5.73423,6.6,E,
74,001.7-04.4,H 1-55,T,18:07:14.552,-29:41:24.424,271.81063,-29.69012,1.71363,-4.45536,3.0,B,m;r;s;
75,001.7+01.3,JaSt 52,T,17:44:37.2,-26:47:25.44,266.15500,-26.79040,1.71530,1.30822,5.0,S,
76,001.7-04.6,H 1-56,T,18:07:53.9,-29:44:34.26,271.97449,-29.74285,1.73599,-4.60547,4.2,E,
77,001.7-01.6,H 2-31,T,17:56:02.39,-28:14:12.14,269.00996,-28.23671,1.77178,-1.60710,10.2,E,
78,001.7-03.8,ShWi 2-7,T,18:05:05.5,-29:20:15.36,271.27300,-29.33760,1.79578,-3.87531,28.0,B,
79,001.9+02.3,K 5-10,T,17:41:24.5,-26:03:53.28,265.35200,-26.06480,1.95535,2.30119,7.9,S,
81,002.0-06.2,M 2-33,T,18:15:06.5,-30:15:32.90,273.77722,-30.25914,2.02296,-6.22479,5.4,E,m;
82,002.1-04.2,H 1-54,T,18:07:07.2,-29:13:06.35,271.78015,-29.21843,2.11514,-4.20456,1.9,B,m;p;s;
83,002.1-02.2,M 3-20,T,17:59:19.3,-28:13:48.04,269.83051,-28.23001,2.13915,-2.22988,6.6,B,
